First Period,last Period,Risk Free Rate,Estimated Volatility,Avg Abs Err,Avg Perc Err
2017-12-14,2018-03-20,0.0301,0.057456756750883416,0.35907940893216767,0.2717724297066158
2018-01-16,2018-03-20,0.0301,0.07262654841971272,0.6051045202848385,0.438221697637938
2018-02-13,2018-03-20,0.0301,0.03721865149302927,0.46914250753132014,0.30552476907776865
2018-03-14,2018-03-20,0.0301,0.010997053625845507,1.3909742661631137,0.7132667035201339
2018-01-05,2018-03-20,0.0301,0.06483760861434952,0.4628943415462156,0.34137098355436785
2018-01-08,2018-03-20,0.0301,0.06608474275165777,0.48305591198192327,0.3552063003519882
2018-01-09,2018-03-20,0.0301,0.06746124386383437,0.506786447571691,0.3713519826739924
2018-01-10,2018-03-20,0.0301,0.06889594406222418,0.5328382118651438,0.3892071929118733
2018-01-11,2018-03-20,0.0301,0.07021589269698138,0.5575467511669973,0.40617863768751233
2018-01-12,2018-03-20,0.0301,0.07115229416064948,0.5755943650889472,0.4184868937253408
2018-01-16,2018-03-20,0.0301,0.07262654841971272,0.6051045202848385,0.438221697637938
2018-01-17,2018-03-20,0.0301,0.07263022492251141,0.6051795303731187,0.4382714829446253
2018-01-18,2018-03-20,0.0301,0.07434710105034596,0.6405102289830138,0.4618034832625493
2018-01-19,2018-03-20,0.0301,0.0760599752193069,0.6766958127536736,0.4858629474258304
2018-01-22,2018-03-20,0.0301,0.07755916822158218,0.7089360737823733,0.5072870037970063
2018-01-23,2018-03-20,0.0301,0.07954631720166434,0.7525270153620586,0.5360864780875303
2018-01-24,2018-03-20,0.0301,0.07988779344322446,0.7602249809694371,0.5410956611373919
2018-01-25,2018-03-20,0.0301,0.07966534026076799,0.7552103140526246,0.5378315666333324
2018-01-26,2018-03-20,0.0301,0.08185705788850023,0.8049253277875386,0.570357526561642
2018-01-29,2018-03-20,0.0301,0.08065949751749438,0.7776852251039325,0.5524815766812537
2018-01-30,2018-03-20,0.0301,0.08263231792027087,0.822712849966548,0.5820746859211875
2018-01-31,2018-03-20,0.0301,0.08512198318608911,0.8802551659464672,0.6204610048644278
2018-02-01,2018-03-20,0.0301,0.08777786018412555,0.9418209881700348,0.6622710757733095
2018-02-02,2018-03-20,0.0301,0.0725128635475994,0.6027870116404528,0.4366832564817473
2018-02-05,2018-03-20,0.0301,0.0678403938820431,0.5135808703268284,0.37599403272624204
2018-02-06,2018-03-20,0.0301,0.0573657886024988,0.3579828182696742,0.2710717729266501
2018-02-07,2018-03-20,0.0301,0.05381479127311236,0.3199607092218761,0.24835749925380105
2018-02-08,2018-03-20,0.0301,0.04605290144260839,0.29664577544383675,0.2388449749290132
2018-02-09,2018-03-20,0.0301,0.04769117347761761,0.2880822679728491,0.23534551009119414
2018-02-12,2018-03-20,0.0301,0.03626080414585833,0.4961973313122219,0.3173595918748036
2018-02-13,2018-03-20,0.0301,0.03721865149302927,0.46914250753132014,0.30552476907776865
2018-02-14,2018-03-20,0.0301,0.03596854396325972,0.5047458435552632,0.3212157355366302
2018-02-15,2018-03-20,0.0301,0.025707656217005152,0.8412207653387032,0.4867066148714438
2018-02-16,2018-03-20,0.0301,0.026741577363529022,0.8057171425835232,0.4699828972432309
2018-02-20,2018-03-20,0.0301,0.02784480822578072,0.7681976153265435,0.4520424924800347
2018-02-21,2018-03-20,0.0301,0.028870478404712473,0.7336421733785369,0.4352782230321895
2018-02-22,2018-03-20,0.0301,0.029715120046079627,0.7054148294867089,0.42141346544090846
2018-02-23,2018-03-20,0.0301,0.027125477122510455,0.7926191693411015,0.4637510377595042
2018-02-26,2018-03-20,0.0301,0.022143063817892376,0.9663270345615541,0.5436513765619377
2018-02-27,2018-03-20,0.0301,0.02355042138171482,0.9164112509101184,0.5213057433080992
2018-02-28,2018-03-20,0.0301,0.025230466725980033,0.857721375842387,0.49439498427040524
2018-03-01,2018-03-20,0.0301,0.021302361014501524,0.9965018676364349,0.5569102697993178
2018-03-02,2018-03-20,0.0301,0.02199695119481195,0.9715526116584781,0.5459606591498319
2018-03-05,2018-03-20,0.0301,0.023601297814291693,0.9146200006216746,0.5204945111343683
2018-03-06,2018-03-20,0.0301,0.025961396923874544,0.8324764270790105,0.48261056264123625
2018-03-07,2018-03-20,0.0301,0.026519497044832085,0.8133148847115738,0.47358248567129285
2018-03-08,2018-03-20,0.0301,0.02563266206008053,0.8438091220825484,0.48791618380378693
2018-03-09,2018-03-20,0.0301,0.015169033778656733,1.22523058831657,0.651442077893582
2018-03-12,2018-03-20,0.0301,0.008573216219459143,1.491946778150866,0.7481925169157293
2018-03-13,2018-03-20,0.0301,0.009467834086984607,1.4542335330428975,0.7353873804185553
2018-03-14,2018-03-20,0.0301,0.010997053625845507,1.3909742661631137,0.7132667035201339
2018-03-15,2018-03-20,0.0301,0.010908190739013009,1.3946104864394224,0.714560152823832
2018-03-16,2018-03-20,0.0301,0.014732054016964573,1.2421644699872147,0.6580169036395919
2018-03-19,2018-03-20,0.0301,0.0,3.1408178714561323,1.0
